Drug_A_Name,Drug_B_Name,Drug_A_Class,Drug_B_Class,DrugBank_Severity,DrugBank_Text,Final_Severity,XAI_Rule_A_Mortality,XAI_Rule_B_Tolerability,XAI_Rule_C_CCB_RAAS_Combo,XAI_Rule_D_Diuretic,XAI_Rule_E_BetaBlocker,XAI_Combined_Clinical_Notes
Enalapril,Indapamide,ACEI,Diuretic,Moderate,"DESCRIPTION

The therapeutic efficacy of Indapamide can be increased when used in combination with Enalapril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,"Clinical Note: Indapamide is prioritized over Hydrochlorothiazide (HCTZ) because meta-analyses demonstrate it significantly reduces all-cause mortality, stroke, and heart failure, whereas HCTZ fails to consistently show these benefits and offers inferior 24-hour blood pressure control (Source: Roush et al., 2015; Mishra, 2016; Burnier et al., 2019).",,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE D - Diuretic Efficacy] Clinical Note: Indapamide is prioritized over Hydrochlorothiazide (HCTZ) because meta-analyses demonstrate it significantly reduces all-cause mortality, stroke, and heart failure, whereas HCTZ fails to consistently show these benefits and offers inferior 24-hour blood pressure control (Source: Roush et al., 2015; Mishra, 2016; Burnier et al., 2019)."
Enalapril,Amiloride,ACEI,Diuretic,Moderate,"DESCRIPTION

The risk or severity of hyperkalemia can be increased when Amiloride is combined with Enalapril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Perindopril,ACEI,ACEI,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Lisinopril is combined with Perindopril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Ramipril,ACEI,ACEI,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Ramipril is combined with Lisinopril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Imidapril,ACEI,ACEI,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Lisinopril is combined with Imidapril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Candesartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Lisinopril is combined with Candesartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Irbesartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Lisinopril is combined with Irbesartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Losartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Lisinopril is combined with Losartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Telmisartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Lisinopril is combined with Telmisartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Valsartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Lisinopril is combined with Valsartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Olmesartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Lisinopril is combined with Olmesartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Lisinopril,Acebutolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Lisinopril may increase the hypotensive activities of Acebutolol.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Lisinopril,Atenolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Atenolol may increase the hypotensive activities of Lisinopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Lisinopril,Betaxolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Betaxolol may increase the hypotensive activities of Lisinopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Lisinopril,Bisoprolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Bisoprolol may increase the hypotensive activities of Lisinopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Lisinopril,Metoprolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Metoprolol may increase the hypotensive activities of Lisinopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Lisinopril,Nebivolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Lisinopril may increase the hypotensive activities of Nebivolol.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Lisinopril,Propranolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Propranolol may increase the hypotensive activities of Lisinopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Lisinopril,Amlodipine,ACEI,CCB,,"Warning: 

There were no interactions found. It does not necessarily mean that no interactions exist.",NoInteraction,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).","Clinical Note: This Combination Therapy is RECOMMENDED. Calcium Channel Blockers (CCBs) can cause leg swelling by widening arteries more than veins. The added ACE Inhibitor helps widen the veins, balancing the pressure and reducing swelling risk by ~38%. ACEIs are superior to ARBs for edema prevention (2.7% vs 3.7% rate). (Sources: Makani et al., 2011; De la Sierra, 2009).",,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE C - Combination Therapy] Clinical Note: This Combination Therapy is RECOMMENDED. Calcium Channel Blockers (CCBs) can cause leg swelling by widening arteries more than veins. The added ACE Inhibitor helps widen the veins, balancing the pressure and reducing swelling risk by ~38%. ACEIs are superior to ARBs for edema prevention (2.7% vs 3.7% rate). (Sources: Makani et al., 2011; De la Sierra, 2009)."
